Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
31,Entry short,2023-05-02 05:00,A_LONDON_BO_SHORT,1.09528,1,1.09528,-0.001,-0.13,0,0.0005,0.04,-0.001,-0.13,0.01,0.00,2
32,Exit long,2023-05-08 05:00,A_LONDON_BO_LONG_EXIT,1.10358,1,1.10484,-0.001,-0.11,0,0.001,0.05,-0.001,-0.11,0.01,0.00,3
32,Entry long,2023-05-08 02:00,A_LONDON_BO_LONG,1.10484,1,1.10484,-0.001,-0.11,0,0.001,0.05,-0.001,-0.11,0.01,0.00,3
33,Exit long,2023-05-08 07:00,A_LONDON_BO_LONG_EXIT,1.10347,1,1.1048,-0.001,-0.12,0,0.0003,0.03,-0.001,-0.12,0.01,0.00,1
33,Entry long,2023-05-08 06:00,A_LONDON_BO_LONG,1.1048,1,1.1048,-0.001,-0.12,0,0.0003,0.03,-0.001,-0.12,0.01,0.00,1
34,Exit short,2023-05-09 08:00,A_LONDON_BO_SHORT_EXIT,1.09547,1,1.09781,0.002,0.21,0,0.002,0.21,-0.001,-0.07,0.01,0.00,5
34,Entry short,2023-05-09 03:00,A_LONDON_BO_SHORT,1.09781,1,1.09781,0.002,0.21,0,0.002,0.21,-0.001,-0.07,0.01,0.00,5
35,Exit short,2023-05-10 08:00,A_LONDON_BO_SHORT_EXIT,1.0963,1,1.09521,-0.001,-0.10,0,0.001,0.10,-0.001,-0.10,0.01,0.00,4
35,Entry short,2023-05-10 04:00,A_LONDON_BO_SHORT,1.09521,1,1.09521,-0.001,-0.10,0,0.001,0.10,-0.001,-0.10,0.01,0.00,4
36,Exit short,2023-05-11 08:00,A_LONDON_BO_SHORT_EXIT,1.09451,1,1.09306,-0.001,-0.13,0,0.001,0.12,-0.001,-0.13,0.01,0.00,6
36,Entry short,2023-05-11 02:00,A_LONDON_BO_SHORT,1.09306,1,1.09306,-0.001,-0.13,0,0.001,0.12,-0.001,-0.13,0.01,0.00,6
37,Exit short,2023-05-17 04:00,A_LONDON_BO_SHORT_EXIT,1.08427,1,1.08319,-0.001,-0.10,0,0.0005,0.04,-0.001,-0.10,0.01,0.00,1
37,Entry short,2023-05-17 03:00,A_LONDON_BO_SHORT,1.08319,1,1.08319,-0.001,-0.10,0,0.0005,0.04,-0.001,-0.10,0.01,0.00,1
38,Exit short,2023-05-18 06:00,A_LONDON_BO_SHORT_EXIT,1.0806,1,1.0826,0.002,0.18,0,0.002,0.18,-0.001,-0.05,0.01,0.00,4
38,Entry short,2023-05-18 02:00,A_LONDON_BO_SHORT,1.0826,1,1.0826,0.002,0.18,0,0.002,0.18,-0.001,-0.05,0.01,0.00,4
39,Exit short,2023-05-23 10:00,A_LONDON_BO_SHORT_EXIT,1.07935,1,1.07813,-0.001,-0.11,0,0.002,0.17,-0.001,-0.11,0.01,0.00,5
39,Entry short,2023-05-23 05:00,A_LONDON_BO_SHORT,1.07813,1,1.07813,-0.001,-0.11,0,0.002,0.17,-0.001,-0.11,0.01,0.00,5
40,Exit short,2023-05-24 07:00,A_LONDON_BO_SHORT_EXIT,1.07633,1,1.07516,-0.001,-0.11,0,0.0001,0.01,-0.001,-0.11,0.01,0.00,1
40,Entry short,2023-05-24 06:00,A_LONDON_BO_SHORT,1.07516,1,1.07516,-0.001,-0.11,0,0.0001,0.01,-0.001,-0.11,0.01,0.00,1
41,Exit short,2023-05-29 21:00,A_LONDON_BO_SHORT_EXIT,1.07263,1,1.0716,-0.001,-0.10,0,0.001,0.11,-0.001,-0.10,0.01,0.00,16
41,Entry short,2023-05-29 05:00,A_LONDON_BO_SHORT,1.0716,1,1.0716,-0.001,-0.10,0,0.001,0.11,-0.001,-0.10,0.01,0.00,16
42,Exit short,2023-05-31 04:00,A_LONDON_BO_SHORT_EXIT,1.06607,1,1.06849,0.002,0.23,0,0.002,0.23,0,0.00,0.01,0.00,2
42,Entry short,2023-05-31 02:00,A_LONDON_BO_SHORT,1.06849,1,1.06849,0.002,0.23,0,0.002,0.23,0,0.00,0.01,0.00,2
43,Exit long,2023-06-02 05:00,A_LONDON_BO_LONG_EXIT,1.07625,1,1.07743,-0.001,-0.11,0,0.0003,0.03,-0.001,-0.11,0.01,0.00,1
43,Entry long,2023-06-02 04:00,A_LONDON_BO_LONG,1.07743,1,1.07743,-0.001,-0.11,0,0.0003,0.03,-0.001,-0.11,0.01,0.00,1
44,Exit short,2023-06-05 10:00,A_LONDON_BO_SHORT_EXIT,1.07007,1,1.06898,-0.001,-0.10,0,0.002,0.14,-0.001,-0.10,0.01,0.00,7
44,Entry short,2023-06-05 03:00,A_LONDON_BO_SHORT,1.06898,1,1.06898,-0.001,-0.10,0,0.002,0.14,-0.001,-0.10,0.01,0.00,7
45,Exit short,2023-06-06 07:00,A_LONDON_BO_SHORT_EXIT,1.06774,1,1.06992,0.002,0.20,0,0.002,0.20,-0.0002,-0.02,0.01,0.00,3
45,Entry short,2023-06-06 04:00,A_LONDON_BO_SHORT,1.06992,1,1.06992,0.002,0.20,0,0.002,0.20,-0.0002,-0.02,0.01,0.00,3
46,Exit short,2023-06-07 03:00,A_LONDON_BO_SHORT_EXIT,1.06859,1,1.06767,-0.001,-0.09,0,0.001,0.08,-0.001,-0.09,0.01,0.00,1
46,Entry short,2023-06-07 02:00,A_LONDON_BO_SHORT,1.06767,1,1.06767,-0.001,-0.09,0,0.001,0.08,-0.001,-0.09,0.01,0.00,1
47,Exit long,2023-06-08 08:00,A_LONDON_BO_LONG_EXIT,1.07478,1,1.07268,0.002,0.20,0,0.002,0.20,-0.001,-0.05,0.01,0.00,4
47,Entry long,2023-06-08 04:00,A_LONDON_BO_LONG,1.07268,1,1.07268,0.002,0.20,0,0.002,0.20,-0.001,-0.05,0.01,0.00,4
48,Exit long,2023-06-13 08:00,A_LONDON_BO_LONG_EXIT,1.07893,1,1.07997,-0.001,-0.10,0,0.001,0.10,-0.001,-0.10,0.01,0.00,5
48,Entry long,2023-06-13 03:00,A_LONDON_BO_LONG,1.07997,1,1.07997,-0.001,-0.10,0,0.001,0.10,-0.001,-0.10,0.01,0.00,5
49,Exit long,2023-06-14 08:00,A_LONDON_BO_LONG_EXIT,1.08251,1,1.08021,0.002,0.21,0,0.002,0.21,-0.001,-0.05,0.01,0.00,4
49,Entry long,2023-06-14 04:00,A_LONDON_BO_LONG,1.08021,1,1.08021,0.002,0.21,0,0.002,0.21,-0.001,-0.05,0.01,0.00,4
50,Exit long,2023-06-15 07:00,A_LONDON_BO_LONG_EXIT,1.08334,1,1.08476,-0.001,-0.13,0,0.0001,0.01,-0.001,-0.13,0.01,0.00,2
50,Entry long,2023-06-15 05:00,A_LONDON_BO_LONG,1.08476,1,1.08476,-0.001,-0.13,0,0.0001,0.01,-0.001,-0.13,0.01,0.00,2
51,Exit long,2023-06-22 07:00,A_LONDON_BO_LONG_EXIT,1.09912,1,1.1002,-0.001,-0.10,0,0.001,0.09,-0.001,-0.10,0.01,0.00,2
51,Entry long,2023-06-22 05:00,A_LONDON_BO_LONG,1.1002,1,1.1002,-0.001,-0.10,0,0.001,0.09,-0.001,-0.10,0.01,0.00,2
52,Exit short,2023-06-23 03:00,A_LONDON_BO_SHORT_EXIT,1.09032,1,1.09232,0.002,0.18,0,0.002,0.18,-0.0003,-0.03,0.01,0.00,1
52,Entry short,2023-06-23 02:00,A_LONDON_BO_SHORT,1.09232,1,1.09232,0.002,0.18,0,0.002,0.18,-0.0003,-0.03,0.01,0.00,1
53,Exit short,2023-06-26 06:00,A_LONDON_BO_SHORT_EXIT,1.09032,1,1.08919,-0.001,-0.10,0,0.0001,0.01,-0.001,-0.10,0.01,0.00,2
53,Entry short,2023-06-26 04:00,A_LONDON_BO_SHORT,1.08919,1,1.08919,-0.001,-0.10,0,0.0001,0.01,-0.001,-0.10,0.01,0.00,2
54,Exit long,2023-06-27 05:00,A_LONDON_BO_LONG_EXIT,1.09289,1,1.09395,-0.001,-0.10,0,0.001,0.05,-0.001,-0.10,0.01,0.00,2
54,Entry long,2023-06-27 03:00,A_LONDON_BO_LONG,1.09395,1,1.09395,-0.001,-0.10,0,0.001,0.05,-0.001,-0.10,0.01,0.00,2
55,Exit short,2023-06-30 08:00,A_LONDON_BO_SHORT_EXIT,1.08683,1,1.08565,-0.001,-0.11,0,0.002,0.19,-0.001,-0.11,0.01,0.00,5
55,Entry short,2023-06-30 03:00,A_LONDON_BO_SHORT,1.08565,1,1.08565,-0.001,-0.11,0,0.002,0.19,-0.001,-0.11,0.01,0.00,5
56,Exit long,2023-07-13 08:00,A_LONDON_BO_LONG_EXIT,1.11808,1,1.11554,0.003,0.23,0,0.003,0.23,-0.001,-0.05,0.01,0.00,5
56,Entry long,2023-07-13 03:00,A_LONDON_BO_LONG,1.11554,1,1.11554,0.003,0.23,0,0.003,0.23,-0.001,-0.05,0.01,0.00,5
57,Exit long,2023-07-17 06:00,A_LONDON_BO_LONG_EXIT,1.12334,1,1.1245,-0.001,-0.10,0,0.0004,0.04,-0.001,-0.10,0.01,0.00,3
57,Entry long,2023-07-17 03:00,A_LONDON_BO_LONG,1.1245,1,1.1245,-0.001,-0.10,0,0.0004,0.04,-0.001,-0.10,0.01,0.00,3
58,Exit short,2023-07-19 10:00,A_LONDON_BO_SHORT_EXIT,1.11866,1,1.12158,0.003,0.26,0,0.003,0.26,-0.001,-0.08,0.01,0.00,4
58,Entry short,2023-07-19 06:00,A_LONDON_BO_SHORT,1.12158,1,1.12158,0.003,0.26,0,0.003,0.26,-0.001,-0.08,0.01,0.00,4
59,Exit short,2023-07-24 02:00,A_LONDON_BO_SHORT_EXIT,1.11393,1,1.11279,-0.001,-0.10,0,0.002,0.18,-0.001,-0.10,0.01,0.00,23
59,Entry short,2023-07-21 03:00,A_LONDON_BO_SHORT,1.11279,1,1.11279,-0.001,-0.10,0,0.002,0.18,-0.001,-0.10,0.01,0.00,23
60,Exit short,2023-07-25 17:00,A_LONDON_BO_SHORT_EXIT,1.10558,1,1.10424,-0.001,-0.12,0,0.002,0.20,-0.001,-0.12,0.01,0.00,12
60,Entry short,2023-07-25 05:00,A_LONDON_BO_SHORT,1.10424,1,1.10424,-0.001,-0.12,0,0.002,0.20,-0.001,-0.12,0.01,0.00,12
61,Exit long,2023-07-27 08:00,A_LONDON_BO_LONG_EXIT,1.11134,1,1.11285,-0.002,-0.14,0,0.002,0.19,-0.002,-0.14,0.01,0.00,5
61,Entry long,2023-07-27 03:00,A_LONDON_BO_LONG,1.11285,1,1.11285,-0.002,-0.14,0,0.002,0.19,-0.002,-0.14,0.01,0.00,5
62,Exit short,2023-08-01 08:00,A_LONDON_BO_SHORT_EXIT,1.09554,1,1.09798,0.002,0.22,0,0.002,0.22,-0.001,-0.06,0.01,0.00,5
62,Entry short,2023-08-01 03:00,A_LONDON_BO_SHORT,1.09798,1,1.09798,0.002,0.22,0,0.002,0.22,-0.001,-0.06,0.01,0.00,5
63,Exit short,2023-08-04 08:00,A_LONDON_BO_SHORT_EXIT,1.0952,1,1.09403,-0.001,-0.11,0,0.001,0.05,-0.001,-0.11,0.01,0.00,4
63,Entry short,2023-08-04 04:00,A_LONDON_BO_SHORT,1.09403,1,1.09403,-0.001,-0.11,0,0.001,0.05,-0.001,-0.11,0.01,0.00,4
64,Exit long,2023-08-10 03:00,A_LONDON_BO_LONG_EXIT,1.10137,1,1.09944,0.002,0.18,0,0.002,0.18,-0.0001,-0.01,0.01,0.00,1
64,Entry long,2023-08-10 02:00,A_LONDON_BO_LONG,1.09944,1,1.09944,0.002,0.18,0,0.002,0.18,-0.0001,-0.01,0.01,0.00,1
