Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
47,Exit long,2023-08-28 11:00,TIME_EXIT,94.067,1,94.042,0.03,0.03,0,0.17,0.18,-0.06,-0.06,1.46,0.01,3
47,Entry long,2023-08-28 08:00,AUDJPY_1200_LONG,94.042,1,94.042,0.03,0.03,0,0.17,0.18,-0.06,-0.06,1.46,0.01,3
48,Exit long,2023-08-30 09:00,TP_OR_SL,94.789,1,94.95,-0.16,-0.17,0,0.01,0.01,-0.16,-0.17,1.3,0.01,1
48,Entry long,2023-08-30 08:00,AUDJPY_1200_LONG,94.95,1,94.95,-0.16,-0.17,0,0.01,0.01,-0.16,-0.17,1.3,0.01,1
49,Exit long,2023-09-08 11:00,TIME_EXIT,94.306,1,94.341,-0.04,-0.04,0,0.12,0.13,-0.07,-0.07,1.27,0.01,3
49,Entry long,2023-09-08 08:00,AUDJPY_1200_LONG,94.341,1,94.341,-0.04,-0.04,0,0.12,0.13,-0.07,-0.07,1.27,0.01,3
50,Exit long,2023-09-12 11:00,TIME_EXIT,94.48,1,94.388,0.09,0.10,0,0.14,0.15,-0.07,-0.07,1.36,0.01,3
50,Entry long,2023-09-12 08:00,AUDJPY_1200_LONG,94.388,1,94.388,0.09,0.10,0,0.14,0.15,-0.07,-0.07,1.36,0.01,3
51,Exit long,2023-09-13 11:00,TIME_EXIT,94.73,1,94.522,0.21,0.22,0,0.31,0.33,-0.05,-0.05,1.57,0.02,3
51,Entry long,2023-09-13 08:00,AUDJPY_1200_LONG,94.522,1,94.522,0.21,0.22,0,0.31,0.33,-0.05,-0.05,1.57,0.02,3
52,Exit long,2023-09-14 10:00,TP_OR_SL,94.798,1,94.95,-0.15,-0.16,0,0.1,0.10,-0.15,-0.16,1.41,0.01,2
52,Entry long,2023-09-14 08:00,AUDJPY_1200_LONG,94.95,1,94.95,-0.15,-0.16,0,0.1,0.10,-0.15,-0.16,1.41,0.01,2
53,Exit long,2023-09-19 09:00,TP_OR_SL,95.495,1,95.622,-0.13,-0.13,0,0.02,0.02,-0.13,-0.13,1.29,0.01,1
53,Entry long,2023-09-19 08:00,AUDJPY_1200_LONG,95.622,1,95.622,-0.13,-0.13,0,0.02,0.02,-0.13,-0.13,1.29,0.01,1
54,Exit long,2023-09-20 11:00,TIME_EXIT,96.004,1,95.898,0.11,0.11,0,0.14,0.15,-0.07,-0.08,1.39,0.01,3
54,Entry long,2023-09-20 08:00,AUDJPY_1200_LONG,95.898,1,95.898,0.11,0.11,0,0.14,0.15,-0.07,-0.08,1.39,0.01,3
55,Exit long,2023-09-22 11:00,TP_OR_SL,95.564,1,95.732,-0.17,-0.18,0,0.1,0.10,-0.17,-0.18,1.23,0.01,3
