Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
43,Exit long,2024-05-27 10:00,TIME_EXIT,0.615,1,0.61422,0.001,0.13,0,0.001,0.16,-0.001,-0.08,0.01,0.00,3
43,Entry long,2024-05-27 07:00,NZDUSD_1100_LONG,0.61422,1,0.61422,0.001,0.13,0,0.001,0.16,-0.001,-0.08,0.01,0.00,3
44,Exit long,2024-05-28 09:00,TP_OR_SL,0.61574,1,0.61631,-0.001,-0.09,0,0.001,0.12,-0.001,-0.09,0.01,0.00,2
44,Entry long,2024-05-28 07:00,NZDUSD_1100_LONG,0.61631,1,0.61631,-0.001,-0.09,0,0.001,0.12,-0.001,-0.09,0.01,0.00,2
45,Exit long,2024-05-31 08:00,TP_OR_SL,0.61501,1,0.61332,0.002,0.28,0,0.002,0.28,-0.0004,-0.06,0.01,0.00,1
45,Entry long,2024-05-31 07:00,NZDUSD_1100_LONG,0.61332,1,0.61332,0.002,0.28,0,0.002,0.28,-0.0004,-0.06,0.01,0.00,1
46,Exit long,2024-06-03 10:00,TP_OR_SL,0.61755,1,0.61572,0.002,0.30,0,0.002,0.30,-0.0003,-0.04,0.01,0.00,3
46,Entry long,2024-06-03 07:00,NZDUSD_1100_LONG,0.61572,1,0.61572,0.002,0.30,0,0.002,0.30,-0.0003,-0.04,0.01,0.00,3
47,Exit long,2024-07-04 10:00,TIME_EXIT,0.61158,1,0.61196,-0.0004,-0.06,0,0.0003,0.05,-0.0005,-0.08,0.01,0.00,3
47,Entry long,2024-07-04 07:00,NZDUSD_1100_LONG,0.61196,1,0.61196,-0.0004,-0.06,0,0.0003,0.05,-0.0005,-0.08,0.01,0.00,3
48,Exit long,2024-07-31 09:00,TP_OR_SL,0.59409,1,0.59198,0.002,0.36,0,0.002,0.36,-0.0002,-0.03,0.01,0.00,2
48,Entry long,2024-07-31 07:00,NZDUSD_1100_LONG,0.59198,1,0.59198,0.002,0.36,0,0.002,0.36,-0.0002,-0.03,0.01,0.00,2
49,Exit long,2024-08-02 08:00,TP_OR_SL,0.59717,1,0.59524,0.002,0.32,0,0.002,0.32,-0.001,-0.16,0.02,0.00,1
49,Entry long,2024-08-02 07:00,NZDUSD_1100_LONG,0.59524,1,0.59524,0.002,0.32,0,0.002,0.32,-0.001,-0.16,0.02,0.00,1
50,Exit long,2024-08-13 09:00,TP_OR_SL,0.60572,1,0.60414,0.002,0.26,0,0.002,0.26,-0.0003,-0.05,0.02,0.00,2
50,Entry long,2024-08-13 07:00,NZDUSD_1100_LONG,0.60414,1,0.60414,0.002,0.26,0,0.002,0.26,-0.0003,-0.05,0.02,0.00,2
51,Exit long,2024-08-19 10:00,TP_OR_SL,0.60948,1,0.6077,0.002,0.29,0,0.002,0.29,-0.001,-0.14,0.02,0.00,3
51,Entry long,2024-08-19 07:00,NZDUSD_1100_LONG,0.6077,1,0.6077,0.002,0.29,0,0.002,0.29,-0.001,-0.14,0.02,0.00,3
52,Exit long,2024-08-23 10:00,TP_OR_SL,0.61729,1,0.61579,0.002,0.24,0,0.002,0.24,-0.001,-0.09,0.02,0.00,3
52,Entry long,2024-08-23 07:00,NZDUSD_1100_LONG,0.61579,1,0.61579,0.002,0.24,0,0.002,0.24,-0.001,-0.09,0.02,0.00,3
53,Exit long,2024-08-27 09:00,TP_OR_SL,0.62216,1,0.62302,-0.001,-0.14,0,0.0002,0.03,-0.001,-0.14,0.02,0.00,2
53,Entry long,2024-08-27 07:00,NZDUSD_1100_LONG,0.62302,1,0.62302,-0.001,-0.14,0,0.0002,0.03,-0.001,-0.14,0.02,0.00,2
54,Exit long,2024-09-23 10:00,TIME_EXIT,0.62684,1,0.62574,0.001,0.18,0,0.001,0.23,-0.001,-0.13,0.02,0.00,3
54,Entry long,2024-09-23 07:00,NZDUSD_1100_LONG,0.62574,1,0.62574,0.001,0.18,0,0.001,0.23,-0.001,-0.13,0.02,0.00,3
55,Exit long,2024-09-27 08:00,TP_OR_SL,0.63413,1,0.632,0.002,0.34,0,0.002,0.34,-0.0001,-0.02,0.02,0.00,1
55,Entry long,2024-09-27 07:00,NZDUSD_1100_LONG,0.632,1,0.632,0.002,0.34,0,0.002,0.34,-0.0001,-0.02,0.02,0.00,1
56,Exit long,2024-11-04 08:00,TP_OR_SL,0.59835,1,0.59943,-0.001,-0.18,0,0.0001,0.02,-0.001,-0.18,0.02,0.00,2
56,Entry long,2024-11-04 06:00,NZDUSD_1100_LONG,0.59943,1,0.59943,-0.001,-0.18,0,0.0001,0.02,-0.001,-0.18,0.02,0.00,2
57,Exit long,2024-12-30 08:00,TP_OR_SL,0.56538,1,0.56622,-0.001,-0.15,0,0.0002,0.04,-0.001,-0.15,0.02,0.00,2
57,Entry long,2024-12-30 06:00,NZDUSD_1100_LONG,0.56622,1,0.56622,-0.001,-0.15,0,0.0002,0.04,-0.001,-0.15,0.02,0.00,2
58,Exit long,2025-01-27 09:00,TP_OR_SL,0.56891,1,0.56986,-0.001,-0.17,0,0.001,0.12,-0.001,-0.17,0.02,0.00,3
58,Entry long,2025-01-27 06:00,NZDUSD_1100_LONG,0.56986,1,0.56986,-0.001,-0.17,0,0.001,0.12,-0.001,-0.17,0.02,0.00,3
59,Exit long,2025-02-17 09:00,TIME_EXIT,0.57366,1,0.57378,-0.0001,-0.02,0,0.00004,0.01,-0.001,-0.09,0.02,0.00,3
59,Entry long,2025-02-17 06:00,NZDUSD_1100_LONG,0.57378,1,0.57378,-0.0001,-0.02,0,0.00004,0.01,-0.001,-0.09,0.02,0.00,3
60,Exit long,2025-03-05 09:00,TP_OR_SL,0.57017,1,0.56806,0.002,0.37,0,0.002,0.37,-0.001,-0.15,0.02,0.00,3
60,Entry long,2025-03-05 06:00,NZDUSD_1100_LONG,0.56806,1,0.56806,0.002,0.37,0,0.002,0.37,-0.001,-0.15,0.02,0.00,3
