Trade number,Type,Date and time,Signal,Price CAD,Size (qty),Size (value),Net PnL CAD,Return %,Commission CAD,Favorable excursion CAD,Favorable excursion %,Adverse excursion CAD,Adverse excursion %,Cumulative PnL CAD,Cumulative PnL %,Duration (bars)
26,Entry long,2025-03-21 07:00,USDCAD_1100_LONG_BASE,1.4338,1,1.4338,0.003,0.19,0,0.003,0.19,-0.001,-0.04,0.02,0.00,2
27,Exit long,2025-04-15 08:00,TP_OR_SL,1.39088,1,1.38728,0.004,0.26,0,0.004,0.26,-0.0004,-0.03,0.02,0.00,1
27,Entry long,2025-04-15 07:00,USDCAD_1100_LONG_BASE,1.38728,1,1.38728,0.004,0.26,0,0.004,0.26,-0.0004,-0.03,0.02,0.00,1
28,Exit long,2025-04-18 08:00,TP_OR_SL,1.38488,1,1.38627,-0.001,-0.10,0,0.0001,0.01,-0.001,-0.10,0.02,0.00,1
28,Entry long,2025-04-18 07:00,USDCAD_1100_LONG_BASE,1.38627,1,1.38627,-0.001,-0.10,0,0.0001,0.01,-0.001,-0.10,0.02,0.00,1
29,Exit long,2025-04-23 10:00,TP_OR_SL,1.38589,1,1.3824,0.003,0.25,0,0.003,0.25,-0.0004,-0.03,0.03,0.00,3
29,Entry long,2025-04-23 07:00,USDCAD_1100_LONG_BASE,1.3824,1,1.3824,0.003,0.25,0,0.003,0.25,-0.0004,-0.03,0.03,0.00,3
30,Exit long,2025-04-24 10:00,TIME_EXIT,1.38796,1,1.38649,0.001,0.11,0,0.002,0.16,-0.001,-0.10,0.03,0.00,3
30,Entry long,2025-04-24 07:00,USDCAD_1100_LONG_PEN_EXTREME,1.38649,1,1.38649,0.001,0.11,0,0.002,0.16,-0.001,-0.10,0.03,0.00,3
31,Exit long,2025-05-14 10:00,TP_OR_SL,1.39659,1,1.39387,0.003,0.20,0,0.003,0.20,-0.001,-0.09,0.03,0.00,3
31,Entry long,2025-05-14 07:00,USDCAD_1100_LONG_BASE,1.39387,1,1.39387,0.003,0.20,0,0.003,0.20,-0.001,-0.09,0.03,0.00,3
32,Exit long,2025-07-10 10:00,TIME_EXIT,1.36911,1,1.36876,0.0004,0.03,0,0.002,0.15,-0.0003,-0.02,0.03,0.00,3
32,Entry long,2025-07-10 07:00,USDCAD_1100_LONG_PEN_EXTREME,1.36876,1,1.36876,0.0004,0.03,0,0.002,0.15,-0.0003,-0.02,0.03,0.00,3
33,Exit long,2025-09-01 10:00,TIME_EXIT,1.37484,1,1.3742,0.001,0.05,0,0.001,0.08,-0.0001,-0.01,0.03,0.00,3
33,Entry long,2025-09-01 07:00,USDCAD_1100_LONG_BASE,1.3742,1,1.3742,0.001,0.05,0,0.001,0.08,-0.0001,-0.01,0.03,0.00,3
34,Exit long,2025-09-18 09:00,TP_OR_SL,1.38019,1,1.37778,0.002,0.17,0,0.002,0.17,-0.0001,-0.01,0.03,0.00,2
34,Entry long,2025-09-18 07:00,USDCAD_1100_LONG_BASE,1.37778,1,1.37778,0.002,0.17,0,0.002,0.17,-0.0001,-0.01,0.03,0.00,2
35,Exit long,2025-09-29 10:00,TP_OR_SL,1.39205,1,1.39292,-0.001,-0.06,0,0.001,0.08,-0.001,-0.06,0.03,0.00,3
35,Entry long,2025-09-29 07:00,USDCAD_1100_LONG_BASE,1.39292,1,1.39292,-0.001,-0.06,0,0.001,0.08,-0.001,-0.06,0.03,0.00,3
36,Exit long,2025-10-09 08:00,TP_OR_SL,1.39453,1,1.39535,-0.001,-0.06,0,0.0001,0.01,-0.001,-0.06,0.03,0.00,1
36,Entry long,2025-10-09 07:00,USDCAD_1100_LONG_BASE,1.39535,1,1.39535,-0.001,-0.06,0,0.0001,0.01,-0.001,-0.06,0.03,0.00,1
37,Exit long,2025-11-26 09:00,TIME_EXIT,1.4084,1,1.40888,-0.0005,-0.03,0,0.001,0.09,-0.001,-0.06,0.03,0.00,3
37,Entry long,2025-11-26 06:00,USDCAD_1100_LONG_BASE,1.40888,1,1.40888,-0.0005,-0.03,0,0.001,0.09,-0.001,-0.06,0.03,0.00,3
38,Exit long,2025-12-18 08:00,TP_OR_SL,1.37738,1,1.37826,-0.001,-0.06,0,0.001,0.10,-0.001,-0.06,0.03,0.00,2
38,Entry long,2025-12-18 06:00,USDCAD_1100_LONG_BASE,1.37826,1,1.37826,-0.001,-0.06,0,0.001,0.10,-0.001,-0.06,0.03,0.00,2
39,Exit long,2026-01-06 09:00,TP_OR_SL,1.37598,1,1.37706,-0.001,-0.08,0,0.001,0.11,-0.001,-0.08,0.03,0.00,3
39,Entry long,2026-01-06 06:00,USDCAD_1100_LONG_BASE,1.37706,1,1.37706,-0.001,-0.08,0,0.001,0.11,-0.001,-0.08,0.03,0.00,3
40,Exit long,2026-02-11 08:00,TP_OR_SL,1.35636,1,1.35367,0.003,0.20,0,0.003,0.20,-0.0002,-0.01,0.03,0.00,2
40,Entry long,2026-02-11 06:00,USDCAD_1100_LONG_BASE,1.35367,1,1.35367,0.003,0.20,0,0.003,0.20,-0.0002,-0.01,0.03,0.00,2
41,Exit long,2026-02-19 09:00,TP_OR_SL,1.37143,1,1.36918,0.002,0.16,0,0.002,0.16,-0.001,-0.06,0.04,0.00,3
41,Entry long,2026-02-19 06:00,USDCAD_1100_LONG_PEN_EXTREME,1.36918,1,1.36918,0.002,0.16,0,0.002,0.16,-0.001,-0.06,0.04,0.00,3
42,Exit long,2026-03-02 09:00,TP_OR_SL,1.36873,1,1.36582,0.003,0.21,0,0.003,0.21,-0.001,-0.06,0.04,0.00,3
42,Entry long,2026-03-02 06:00,USDCAD_1100_LONG_BASE,1.36582,1,1.36582,0.003,0.21,0,0.003,0.21,-0.001,-0.06,0.04,0.00,3
43,Exit long,2026-04-22 09:00,TP_OR_SL,1.36546,1,1.36641,-0.001,-0.07,0,0.001,0.06,-0.001,-0.07,0.04,0.00,2
43,Entry long,2026-04-22 07:00,USDCAD_1100_LONG_PEN_EXTREME,1.36641,1,1.36641,-0.001,-0.07,0,0.001,0.06,-0.001,-0.07,0.04,0.00,2
44,Exit long,2026-05-07 10:00,TIME_EXIT,1.36349,1,1.36296,0.001,0.04,0,0.002,0.11,-0.001,-0.04,0.04,0.00,3
44,Entry long,2026-05-07 07:00,USDCAD_1100_LONG_BASE,1.36296,1,1.36296,0.001,0.04,0,0.002,0.11,-0.001,-0.04,0.04,0.00,3
45,Exit long,2026-05-26 09:00,TP_OR_SL,1.38051,1,1.38123,-0.001,-0.05,0,0.001,0.07,-0.001,-0.05,0.04,0.00,2
45,Entry long,2026-05-26 07:00,USDCAD_1100_LONG_PEN_EXTREME,1.38123,1,1.38123,-0.001,-0.05,0,0.001,0.07,-0.001,-0.05,0.04,0.00,2
46,Exit long,2026-06-15 08:00,TP_OR_SL,1.39716,1,1.3983,-0.001,-0.08,0,0.0001,0.01,-0.001,-0.08,0.04,0.00,1
46,Entry long,2026-06-15 07:00,USDCAD_1100_LONG_PEN_EXTREME,1.3983,1,1.3983,-0.001,-0.08,0,0.0001,0.01,-0.001,-0.08,0.04,0.00,1
47,Exit long,2026-06-16 10:00,TP_OR_SL,1.39974,1,1.40072,-0.001,-0.07,0,0.001,0.06,-0.001,-0.07,0.03,0.00,3
47,Entry long,2026-06-16 07:00,USDCAD_1100_LONG_PEN_EXTREME,1.40072,1,1.40072,-0.001,-0.07,0,0.001,0.06,-0.001,-0.07,0.03,0.00,3
48,Exit long,2026-07-02 08:00,TP_OR_SL,1.42039,1,1.42144,-0.001,-0.07,0,0.0005,0.03,-0.001,-0.07,0.03,0.00,1
48,Entry long,2026-07-02 07:00,USDCAD_1100_LONG_BASE,1.42144,1,1.42144,-0.001,-0.07,0,0.0005,0.03,-0.001,-0.07,0.03,0.00,1
49,Exit long,2026-07-08 09:00,TP_OR_SL,1.41755,1,1.4188,-0.001,-0.09,0,0.0001,0.01,-0.001,-0.09,0.03,0.00,2
49,Entry long,2026-07-08 07:00,USDCAD_1100_LONG_BASE,1.4188,1,1.4188,-0.001,-0.09,0,0.0001,0.01,-0.001,-0.09,0.03,0.00,2
50,Exit long,2026-07-21 09:00,TP_OR_SL,1.40855,1,1.40662,0.002,0.14,0,0.002,0.14,-0.0001,0.00,0.03,0.00,2
50,Entry long,2026-07-21 07:00,USDCAD_1100_LONG_BASE,1.40662,1,1.40662,0.002,0.14,0,0.002,0.14,-0.0001,0.00,0.03,0.00,2
51,Exit long,2026-07-24 08:00,TP_OR_SL,1.41064,1,1.40884,0.002,0.13,0,0.002,0.13,-0.0004,-0.03,0.04,0.00,1
51,Entry long,2026-07-24 07:00,USDCAD_1100_LONG_PEN_EXTREME,1.40884,1,1.40884,0.002,0.13,0,0.002,0.13,-0.0004,-0.03,0.04,0.00,1
52,Exit long,2026-08-04 10:00,TIME_EXIT,1.40574,1,1.40574,0,0.00,0,0.002,0.12,-0.001,-0.04,0.04,0.00,3
52,Entry long,2026-08-04 07:00,USDCAD_1100_LONG_PEN_EXTREME,1.40574,1,1.40574,0,0.00,0,0.002,0.12,-0.001,-0.04,0.04,0.00,3
53,Exit long,2026-08-13 08:00,TP_OR_SL,1.39381,1,1.39458,-0.001,-0.06,0,0.001,0.04,-0.001,-0.06,0.04,0.00,1
53,Entry long,2026-08-13 07:00,USDCAD_1100_LONG_PEN_EXTREME,1.39458,1,1.39458,-0.001,-0.06,0,0.001,0.04,-0.001,-0.06,0.04,0.00,1
