Trade number,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net PnL AUD,Return %,Commission AUD,Favorable excursion AUD,Favorable excursion %,Adverse excursion AUD,Adverse excursion %,Cumulative PnL AUD,Cumulative PnL %,Duration (bars)
26,Exit long,2023-04-06 09:00,TP_OR_SL,1.63519,1,1.63054,0.005,0.29,0,0.005,0.29,-0.002,-0.10,0.01,0.00,2
26,Entry long,2023-04-06 07:00,EURAUD_1100_LONG,1.63054,1,1.63054,0.005,0.29,0,0.005,0.29,-0.002,-0.10,0.01,0.00,2
27,Exit long,2023-04-07 08:00,TP_OR_SL,1.63357,1,1.63531,-0.002,-0.11,0,0,0.00,-0.002,-0.11,0.01,0.00,1
27,Entry long,2023-04-07 07:00,EURAUD_1100_LONG,1.63531,1,1.63531,-0.002,-0.11,0,0,0.00,-0.002,-0.11,0.01,0.00,1
28,Exit long,2023-04-11 10:00,TIME_EXIT,1.63987,1,1.63879,0.001,0.07,0,0.002,0.13,-0.001,-0.05,0.01,0.00,3
28,Entry long,2023-04-11 07:00,EURAUD_1100_LONG,1.63879,1,1.63879,0.001,0.07,0,0.002,0.13,-0.001,-0.05,0.01,0.00,3
29,Exit long,2023-04-21 09:00,TP_OR_SL,1.63756,1,1.6398,-0.002,-0.14,0,0.0005,0.03,-0.002,-0.14,0.01,0.00,2
29,Entry long,2023-04-21 07:00,EURAUD_1100_LONG,1.6398,1,1.6398,-0.002,-0.14,0,0.0005,0.03,-0.002,-0.14,0.01,0.00,2
30,Exit long,2023-04-24 10:00,TIME_EXIT,1.6477,1,1.64669,0.001,0.06,0,0.004,0.26,-0.0001,-0.01,0.01,0.00,3
30,Entry long,2023-04-24 07:00,EURAUD_1100_LONG,1.64669,1,1.64669,0.001,0.06,0,0.004,0.26,-0.0001,-0.01,0.01,0.00,3
31,Exit long,2023-04-26 09:00,TP_OR_SL,1.67847,1,1.67306,0.01,0.32,0,0.01,0.32,-0.002,-0.10,0.02,0.00,2
31,Entry long,2023-04-26 07:00,EURAUD_1100_LONG,1.67306,1,1.67306,0.01,0.32,0,0.01,0.32,-0.002,-0.10,0.02,0.00,2
32,Exit long,2023-05-16 08:00,TP_OR_SL,1.62957,1,1.63165,-0.002,-0.13,0,0.00003,0.00,-0.002,-0.13,0.02,0.00,1
32,Entry long,2023-05-16 07:00,EURAUD_1100_LONG,1.63165,1,1.63165,-0.002,-0.13,0,0.00003,0.00,-0.002,-0.13,0.02,0.00,1
33,Exit long,2023-05-22 10:00,TP_OR_SL,1.62724,1,1.62943,-0.002,-0.13,0,0.001,0.04,-0.002,-0.13,0.01,0.00,3
33,Entry long,2023-05-22 07:00,EURAUD_1100_LONG,1.62943,1,1.62943,-0.002,-0.13,0,0.001,0.04,-0.002,-0.13,0.01,0.00,3
34,Exit long,2023-05-24 09:00,TP_OR_SL,1.64387,1,1.63918,0.005,0.29,0,0.005,0.29,-0.001,-0.03,0.02,0.00,2
34,Entry long,2023-05-24 07:00,EURAUD_1100_LONG,1.63918,1,1.63918,0.005,0.29,0,0.005,0.29,-0.001,-0.03,0.02,0.00,2
35,Exit long,2023-05-25 10:00,TP_OR_SL,1.64838,1,1.64408,0.004,0.26,0,0.004,0.26,-0.002,-0.09,0.02,0.00,3
35,Entry long,2023-05-25 07:00,EURAUD_1100_LONG,1.64408,1,1.64408,0.004,0.26,0,0.004,0.26,-0.002,-0.09,0.02,0.00,3
36,Exit long,2023-05-31 10:00,TIME_EXIT,1.64742,1,1.64896,-0.002,-0.09,0,0.003,0.16,-0.002,-0.12,0.02,0.00,3
36,Entry long,2023-05-31 07:00,EURAUD_1100_LONG,1.64896,1,1.64896,-0.002,-0.09,0,0.003,0.16,-0.002,-0.12,0.02,0.00,3
37,Exit long,2023-06-19 10:00,TIME_EXIT,1.59554,1,1.59558,-0.00004,0.00,0,0.001,0.08,-0.002,-0.11,0.02,0.00,3
37,Entry long,2023-06-19 07:00,EURAUD_1100_LONG,1.59558,1,1.59558,-0.00004,0.00,0,0.001,0.08,-0.002,-0.11,0.02,0.00,3
38,Exit long,2023-06-20 10:00,TIME_EXIT,1.6117,1,1.61078,0.001,0.06,0,0.004,0.23,-0.0005,-0.03,0.02,0.00,3
38,Entry long,2023-06-20 07:00,EURAUD_1100_LONG,1.61078,1,1.61078,0.001,0.06,0,0.004,0.23,-0.0005,-0.03,0.02,0.00,3
39,Exit long,2023-06-21 10:00,TIME_EXIT,1.61792,1,1.61584,0.002,0.13,0,0.003,0.18,-0.001,-0.06,0.02,0.00,3
39,Entry long,2023-06-21 07:00,EURAUD_1100_LONG,1.61584,1,1.61584,0.002,0.13,0,0.003,0.18,-0.001,-0.06,0.02,0.00,3
