Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
69,Entry long,2026-01-22 07:00,CADJPY_1200_LONG,114.97,1,114.97,-0.13,-0.12,0,0.04,0.03,-0.13,-0.12,4.38,0.04,2
70,Exit long,2026-02-03 10:00,TP_OR_SL,113.989,1,114.144,-0.15,-0.14,0,0.03,0.03,-0.15,-0.14,4.23,0.04,3
70,Entry long,2026-02-03 07:00,CADJPY_1200_LONG,114.144,1,114.144,-0.15,-0.14,0,0.03,0.03,-0.15,-0.14,4.23,0.04,3
71,Exit long,2026-03-02 10:00,TIME_EXIT,115.13,1,115.173,-0.04,-0.04,0,0.11,0.09,-0.11,-0.09,4.18,0.04,3
71,Entry long,2026-03-02 07:00,CADJPY_1200_LONG,115.173,1,115.173,-0.04,-0.04,0,0.11,0.09,-0.11,-0.09,4.18,0.04,3
72,Exit long,2026-03-05 09:00,TP_OR_SL,115.426,1,115.602,-0.18,-0.15,0,0.12,0.10,-0.18,-0.15,4.01,0.04,2
72,Entry long,2026-03-05 07:00,CADJPY_1200_LONG,115.602,1,115.602,-0.18,-0.15,0,0.12,0.10,-0.18,-0.15,4.01,0.04,2
73,Exit long,2026-03-06 08:00,TP_OR_SL,115.555,1,115.689,-0.13,-0.12,0,0.01,0.01,-0.13,-0.12,3.87,0.04,1
73,Entry long,2026-03-06 07:00,CADJPY_1200_LONG,115.689,1,115.689,-0.13,-0.12,0,0.01,0.01,-0.13,-0.12,3.87,0.04,1
74,Exit long,2026-04-14 11:00,TP_OR_SL,115.431,1,115.54,-0.11,-0.09,0,0.08,0.07,-0.11,-0.09,3.77,0.04,3
74,Entry long,2026-04-14 08:00,CADJPY_1200_LONG,115.54,1,115.54,-0.11,-0.09,0,0.08,0.07,-0.11,-0.09,3.77,0.04,3
75,Exit long,2026-04-15 11:00,TP_OR_SL,115.711,1,115.513,0.2,0.17,0,0.2,0.17,-0.04,-0.03,3.96,0.04,3
75,Entry long,2026-04-15 08:00,CADJPY_1200_LONG,115.513,1,115.513,0.2,0.17,0,0.2,0.17,-0.04,-0.03,3.96,0.04,3
76,Exit long,2026-04-16 11:00,TIME_EXIT,116.078,1,115.962,0.12,0.10,0,0.2,0.17,-0.09,-0.07,4.08,0.04,3
76,Entry long,2026-04-16 08:00,CADJPY_1200_LONG,115.962,1,115.962,0.12,0.10,0,0.2,0.17,-0.09,-0.07,4.08,0.04,3
77,Exit long,2026-04-21 11:00,TP_OR_SL,116.821,1,116.608,0.21,0.18,0,0.21,0.18,-0.04,-0.03,4.29,0.04,3
77,Entry long,2026-04-21 08:00,CADJPY_1200_LONG,116.608,1,116.608,0.21,0.18,0,0.21,0.18,-0.04,-0.03,4.29,0.04,3
78,Exit long,2026-04-27 10:00,TP_OR_SL,116.957,1,117.066,-0.11,-0.09,0,0.02,0.02,-0.11,-0.09,4.18,0.04,2
78,Entry long,2026-04-27 08:00,CADJPY_1200_LONG,117.066,1,117.066,-0.11,-0.09,0,0.02,0.02,-0.11,-0.09,4.18,0.04,2
79,Exit long,2026-06-26 10:00,TP_OR_SL,113.94,1,114.03,-0.09,-0.08,0,0.07,0.06,-0.09,-0.08,4.09,0.04,2
79,Entry long,2026-06-26 08:00,CADJPY_1200_LONG,114.03,1,114.03,-0.09,-0.08,0,0.07,0.06,-0.09,-0.08,4.09,0.04,2
80,Exit long,2026-06-30 10:00,TP_OR_SL,114.372,1,114.144,0.23,0.20,0,0.23,0.20,-0.01,-0.01,4.32,0.04,2
80,Entry long,2026-06-30 08:00,CADJPY_1200_LONG,114.144,1,114.144,0.23,0.20,0,0.23,0.20,-0.01,-0.01,4.32,0.04,2
81,Exit long,2026-07-23 09:00,TP_OR_SL,116.404,1,116.236,0.17,0.14,0,0.17,0.14,0,0.00,4.49,0.04,1
81,Entry long,2026-07-23 08:00,CADJPY_1200_LONG,116.236,1,116.236,0.17,0.14,0,0.17,0.14,0,0.00,4.49,0.04,1
82,Exit long,2026-07-29 11:00,TIME_EXIT,116.32,1,116.233,0.09,0.07,0,0.1,0.09,-0.07,-0.06,4.58,0.05,3
82,Entry long,2026-07-29 08:00,CADJPY_1200_LONG,116.233,1,116.233,0.09,0.07,0,0.1,0.09,-0.07,-0.06,4.58,0.05,3
83,Exit long,2026-08-17 10:00,TP_OR_SL,114.876,1,114.971,-0.09,-0.08,0,0.06,0.05,-0.09,-0.08,4.48,0.04,2
83,Entry long,2026-08-17 08:00,CADJPY_1200_LONG,114.971,1,114.971,-0.09,-0.08,0,0.06,0.05,-0.09,-0.08,4.48,0.04,2
84,Exit long,2026-08-31 10:00,TP_OR_SL,115.089,1,115.188,-0.1,-0.09,0,0.09,0.07,-0.1,-0.09,4.38,0.04,2
84,Entry long,2026-08-31 08:00,CADJPY_1200_LONG,115.188,1,115.188,-0.1,-0.09,0,0.09,0.07,-0.1,-0.09,4.38,0.04,2
