Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
25,Exit long,2023-07-31 05:00,TIME_EXIT,156.988,1,156.414,0.57,0.37,0,0.79,0.50,-0.09,-0.06,2.31,0.02,3
25,Entry long,2023-07-31 02:00,EURJPY_0600_LONG,156.414,1,156.414,0.57,0.37,0,0.79,0.50,-0.09,-0.06,2.31,0.02,3
26,Exit long,2023-08-10 05:00,TIME_EXIT,158.554,1,158.272,0.28,0.18,0,0.31,0.19,-0.1,-0.07,2.59,0.03,3
26,Entry long,2023-08-10 02:00,EURJPY_0600_LONG,158.272,1,158.272,0.28,0.18,0,0.31,0.19,-0.1,-0.07,2.59,0.03,3
27,Exit long,2023-08-15 05:00,TIME_EXIT,159.242,1,159.182,0.06,0.04,0,0.11,0.07,-0.12,-0.08,2.65,0.03,3
27,Entry long,2023-08-15 02:00,EURJPY_0600_LONG,159.182,1,159.182,0.06,0.04,0,0.11,0.07,-0.12,-0.08,2.65,0.03,3
28,Exit long,2023-08-17 03:00,TP_OR_SL,159.139,1,159.29,-0.15,-0.09,0,0.002,0.00,-0.15,-0.09,2.5,0.03,1
28,Entry long,2023-08-17 02:00,EURJPY_0600_LONG,159.29,1,159.29,-0.15,-0.09,0,0.002,0.00,-0.15,-0.09,2.5,0.03,1
29,Exit long,2023-08-30 05:00,TIME_EXIT,159.348,1,159.052,0.3,0.19,0,0.32,0.20,-0.16,-0.10,2.8,0.03,3
29,Entry long,2023-08-30 02:00,EURJPY_0600_LONG,159.052,1,159.052,0.3,0.19,0,0.32,0.20,-0.16,-0.10,2.8,0.03,3
30,Exit long,2023-09-04 03:00,TP_OR_SL,158.07,1,157.739,0.33,0.21,0,0.33,0.21,-0.001,0.00,3.13,0.03,1
30,Entry long,2023-09-04 02:00,EURJPY_0600_LONG,157.739,1,157.739,0.33,0.21,0,0.33,0.21,-0.001,0.00,3.13,0.03,1
31,Exit long,2023-09-15 05:00,TIME_EXIT,157.622,1,157.372,0.25,0.16,0,0.28,0.18,0,0.00,3.38,0.03,3
31,Entry long,2023-09-15 02:00,EURJPY_0600_LONG,157.372,1,157.372,0.25,0.16,0,0.28,0.18,0,0.00,3.38,0.03,3
32,Exit long,2023-09-20 03:00,TP_OR_SL,158.309,1,158.03,0.28,0.18,0,0.28,0.18,-0.09,-0.06,3.66,0.04,1
32,Entry long,2023-09-20 02:00,EURJPY_0600_LONG,158.03,1,158.03,0.28,0.18,0,0.28,0.18,-0.09,-0.06,3.66,0.04,1
33,Exit long,2023-09-22 03:00,TP_OR_SL,157.87,1,158.112,-0.24,-0.15,0,0.17,0.11,-0.24,-0.15,3.41,0.03,1
33,Entry long,2023-09-22 02:00,EURJPY_0600_LONG,158.112,1,158.112,-0.24,-0.15,0,0.17,0.11,-0.24,-0.15,3.41,0.03,1
34,Exit long,2023-10-02 04:00,TP_OR_SL,158.243,1,158.45,-0.21,-0.13,0,0.03,0.02,-0.21,-0.13,3.21,0.03,2
34,Entry long,2023-10-02 02:00,EURJPY_0600_LONG,158.45,1,158.45,-0.21,-0.13,0,0.03,0.02,-0.21,-0.13,3.21,0.03,2
35,Exit long,2023-10-06 05:00,TP_OR_SL,157.249,1,156.918,0.33,0.21,0,0.33,0.21,-0.04,-0.02,3.54,0.04,3
35,Entry long,2023-10-06 02:00,EURJPY_0600_LONG,156.918,1,156.918,0.33,0.21,0,0.33,0.21,-0.04,-0.02,3.54,0.04,3
36,Exit long,2023-10-10 04:00,TP_OR_SL,157.674,1,157.252,0.42,0.27,0,0.42,0.27,-0.03,-0.02,3.96,0.04,2
36,Entry long,2023-10-10 02:00,EURJPY_0600_LONG,157.252,1,157.252,0.42,0.27,0,0.42,0.27,-0.03,-0.02,3.96,0.04,2
37,Exit long,2023-10-11 03:00,TP_OR_SL,157.828,1,157.984,-0.16,-0.10,0,0.02,0.01,-0.16,-0.10,3.8,0.04,1
37,Entry long,2023-10-11 02:00,EURJPY_0600_LONG,157.984,1,157.984,-0.16,-0.10,0,0.02,0.01,-0.16,-0.10,3.8,0.04,1
38,Exit long,2023-10-16 04:00,TP_OR_SL,157.404,1,157.571,-0.17,-0.11,0,0.04,0.03,-0.17,-0.11,3.64,0.04,2
38,Entry long,2023-10-16 02:00,EURJPY_0600_LONG,157.571,1,157.571,-0.17,-0.11,0,0.04,0.03,-0.17,-0.11,3.64,0.04,2
39,Exit long,2023-10-31 04:00,TP_OR_SL,159.859,1,159.352,0.51,0.32,0,0.51,0.32,-0.08,-0.05,4.14,0.04,2
39,Entry long,2023-10-31 02:00,EURJPY_0600_LONG,159.352,1,159.352,0.51,0.32,0,0.51,0.32,-0.08,-0.05,4.14,0.04,2
40,Exit long,2023-11-13 04:00,TIME_EXIT,162.243,1,162.222,0.02,0.01,0,0.14,0.09,-0.02,-0.01,4.17,0.04,3
40,Entry long,2023-11-13 01:00,EURJPY_0600_LONG,162.222,1,162.222,0.02,0.01,0,0.14,0.09,-0.02,-0.01,4.17,0.04,3
41,Exit long,2023-11-22 04:00,TIME_EXIT,162.586,1,162.362,0.22,0.14,0,0.37,0.23,-0.05,-0.03,4.39,0.04,3
41,Entry long,2023-11-22 01:00,EURJPY_0600_LONG,162.362,1,162.362,0.22,0.14,0,0.37,0.23,-0.05,-0.03,4.39,0.04,3
42,Exit long,2023-12-01 03:00,TP_OR_SL,161.448,1,161.669,-0.22,-0.14,0,0.11,0.07,-0.22,-0.14,4.17,0.04,2
42,Entry long,2023-12-01 01:00,EURJPY_0600_LONG,161.669,1,161.669,-0.22,-0.14,0,0.11,0.07,-0.22,-0.14,4.17,0.04,2
43,Exit long,2023-12-13 04:00,TIME_EXIT,157.322,1,157.314,0.01,0.01,0,0.17,0.11,-0.15,-0.10,4.18,0.04,3
43,Entry long,2023-12-13 01:00,EURJPY_0600_LONG,157.314,1,157.314,0.01,0.01,0,0.17,0.11,-0.15,-0.10,4.18,0.04,3
44,Exit long,2023-12-18 04:00,TIME_EXIT,155.6,1,155.352,0.25,0.16,0,0.3,0.19,-0.1,-0.06,4.42,0.04,3
44,Entry long,2023-12-18 01:00,EURJPY_0600_LONG,155.352,1,155.352,0.25,0.16,0,0.3,0.19,-0.1,-0.06,4.42,0.04,3
45,Exit long,2023-12-27 03:00,TP_OR_SL,157.399,1,157.568,-0.17,-0.11,0,0.21,0.14,-0.17,-0.11,4.26,0.04,2
45,Entry long,2023-12-27 01:00,EURJPY_0600_LONG,157.568,1,157.568,-0.17,-0.11,0,0.21,0.14,-0.17,-0.11,4.26,0.04,2
46,Exit long,2024-01-03 02:00,TP_OR_SL,156.101,1,155.712,0.39,0.25,0,0.39,0.25,-0.09,-0.06,4.64,0.05,1
46,Entry long,2024-01-03 01:00,EURJPY_0600_LONG,155.712,1,155.712,0.39,0.25,0,0.39,0.25,-0.09,-0.06,4.64,0.05,1
47,Exit long,2024-01-05 02:00,TP_OR_SL,158.483,1,158.72,-0.24,-0.15,0,0.02,0.01,-0.24,-0.15,4.41,0.04,1
47,Entry long,2024-01-05 01:00,EURJPY_0600_LONG,158.72,1,158.72,-0.24,-0.15,0,0.02,0.01,-0.24,-0.15,4.41,0.04,1
48,Exit long,2024-01-10 04:00,TIME_EXIT,158.648,1,158.484,0.16,0.10,0,0.25,0.16,-0.13,-0.09,4.57,0.05,3
48,Entry long,2024-01-10 01:00,EURJPY_0600_LONG,158.484,1,158.484,0.16,0.10,0,0.25,0.16,-0.13,-0.09,4.57,0.05,3
49,Exit long,2024-01-17 02:00,TP_OR_SL,160.833,1,160.445,0.39,0.24,0,0.39,0.24,-0.01,-0.01,4.96,0.05,1
49,Entry long,2024-01-17 01:00,EURJPY_0600_LONG,160.445,1,160.445,0.39,0.24,0,0.39,0.24,-0.01,-0.01,4.96,0.05,1
50,Exit long,2024-01-22 03:00,TP_OR_SL,161.275,1,161.484,-0.21,-0.13,0,0.04,0.02,-0.21,-0.13,4.75,0.05,2
50,Entry long,2024-01-22 01:00,EURJPY_0600_LONG,161.484,1,161.484,-0.21,-0.13,0,0.04,0.02,-0.21,-0.13,4.75,0.05,2
51,Exit long,2024-02-08 04:00,TP_OR_SL,160.206,1,160.396,-0.19,-0.12,0,0.09,0.05,-0.19,-0.12,4.56,0.05,3
51,Entry long,2024-02-08 01:00,EURJPY_0600_LONG,160.396,1,160.396,-0.19,-0.12,0,0.09,0.05,-0.19,-0.12,4.56,0.05,3
52,Exit long,2024-02-20 02:00,TP_OR_SL,161.876,1,161.981,-0.1,-0.06,0,0.07,0.04,-0.1,-0.06,4.46,0.04,1
52,Entry long,2024-02-20 01:00,EURJPY_0600_LONG,161.981,1,161.981,-0.1,-0.06,0,0.07,0.04,-0.1,-0.06,4.46,0.04,1
53,Exit long,2024-03-04 03:00,TP_OR_SL,162.931,1,163.093,-0.16,-0.10,0,0.17,0.10,-0.16,-0.10,4.29,0.04,2
53,Entry long,2024-03-04 01:00,EURJPY_0600_LONG,163.093,1,163.093,-0.16,-0.10,0,0.17,0.10,-0.16,-0.10,4.29,0.04,2
54,Exit long,2024-03-13 03:00,TP_OR_SL,161.264,1,161.456,-0.19,-0.12,0,0.01,0.01,-0.19,-0.12,4.1,0.04,1
54,Entry long,2024-03-13 02:00,EURJPY_0600_LONG,161.456,1,161.456,-0.19,-0.12,0,0.01,0.01,-0.19,-0.12,4.1,0.04,1
55,Exit long,2024-03-21 04:00,TP_OR_SL,164.911,1,165.157,-0.25,-0.15,0,0.19,0.11,-0.25,-0.15,3.86,0.04,2
55,Entry long,2024-03-21 02:00,EURJPY_0600_LONG,165.157,1,165.157,-0.25,-0.15,0,0.19,0.11,-0.25,-0.15,3.86,0.04,2
56,Exit long,2024-04-16 05:00,TIME_EXIT,164.29,1,163.94,0.35,0.21,0,0.37,0.23,-0.09,-0.06,4.21,0.04,3
56,Entry long,2024-04-16 02:00,EURJPY_0600_LONG,163.94,1,163.94,0.35,0.21,0,0.37,0.23,-0.09,-0.06,4.21,0.04,3
57,Exit long,2024-04-25 03:00,TP_OR_SL,166.715,1,166.892,-0.18,-0.11,0,0.04,0.03,-0.18,-0.11,4.03,0.04,1
57,Entry long,2024-04-25 02:00,EURJPY_0600_LONG,166.892,1,166.892,-0.18,-0.11,0,0.04,0.03,-0.18,-0.11,4.03,0.04,1
58,Exit long,2024-04-26 04:00,TP_OR_SL,167.623,1,167.871,-0.25,-0.15,0,0.49,0.29,-0.25,-0.15,3.78,0.04,2
58,Entry long,2024-04-26 02:00,EURJPY_0600_LONG,167.871,1,167.871,-0.25,-0.15,0,0.49,0.29,-0.25,-0.15,3.78,0.04,2
59,Exit long,2024-05-08 05:00,TIME_EXIT,167.07,1,166.83,0.24,0.14,0,0.31,0.19,-0.1,-0.06,4.02,0.04,3
59,Entry long,2024-05-08 02:00,EURJPY_0600_LONG,166.83,1,166.83,0.24,0.14,0,0.31,0.19,-0.1,-0.06,4.02,0.04,3
