Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
58,Exit long,2026-04-08 09:30,TP_OR_SL,1.34471,1,1.3466,-0.002,-0.14,0,0.002,0.14,-0.002,-0.14,0.01,0.00,5
58,Entry long,2026-04-08 07:00,GBPUSD_1100_LONG,1.3466,1,1.3466,-0.002,-0.14,0,0.002,0.14,-0.002,-0.14,0.01,0.00,5
59,Exit long,2026-04-14 08:00,TP_OR_SL,1.35802,1,1.35597,0.002,0.15,0,0.002,0.15,-0.0001,-0.01,0.02,0.00,3
59,Entry long,2026-04-14 06:30,GBPUSD_1030_LONG,1.35597,1,1.35597,0.002,0.15,0,0.002,0.15,-0.0001,-0.01,0.02,0.00,3
60,Exit long,2026-04-14 10:00,TIME_EXIT,1.35808,1,1.35723,0.001,0.06,0,0.002,0.13,-0.001,-0.05,0.02,0.00,6
60,Entry long,2026-04-14 07:00,GBPUSD_1100_LONG,1.35723,1,1.35723,0.001,0.06,0,0.002,0.13,-0.001,-0.05,0.02,0.00,6
61,Exit long,2026-04-27 08:30,TP_OR_SL,1.35517,1,1.35604,-0.001,-0.06,0,0.002,0.12,-0.001,-0.06,0.02,0.00,4
61,Entry long,2026-04-27 06:30,GBPUSD_1030_LONG,1.35604,1,1.35604,-0.001,-0.06,0,0.002,0.12,-0.001,-0.06,0.02,0.00,4
62,Exit short,2026-04-28 07:30,TP_OR_SL,1.34669,1,1.34844,0.002,0.13,0,0.002,0.13,-0.001,-0.05,0.02,0.00,2
62,Entry short,2026-04-28 06:30,GBPUSD_1030_SHORT,1.34844,1,1.34844,0.002,0.13,0,0.002,0.13,-0.001,-0.05,0.02,0.00,2
63,Exit long,2026-04-30 07:00,TP_OR_SL,1.35161,1,1.35288,-0.001,-0.09,0,0.001,0.05,-0.001,-0.09,0.02,0.00,1
63,Entry long,2026-04-30 06:30,GBPUSD_1030_LONG,1.35288,1,1.35288,-0.001,-0.09,0,0.001,0.05,-0.001,-0.09,0.02,0.00,1
64,Exit long,2026-04-30 07:30,TP_OR_SL,1.35191,1,1.35324,-0.001,-0.10,0,0.0003,0.02,-0.001,-0.10,0.02,0.00,1
64,Entry long,2026-04-30 07:00,GBPUSD_1100_LONG,1.35324,1,1.35324,-0.001,-0.10,0,0.0003,0.02,-0.001,-0.10,0.02,0.00,1
65,Exit long,2026-05-06 07:30,TP_OR_SL,1.36241,1,1.36371,-0.001,-0.10,0,0.001,0.04,-0.001,-0.10,0.01,0.00,2
65,Entry long,2026-05-06 06:30,GBPUSD_1030_LONG,1.36371,1,1.36371,-0.001,-0.10,0,0.001,0.04,-0.001,-0.10,0.01,0.00,2
66,Exit short,2026-05-27 08:00,TP_OR_SL,1.34429,1,1.3436,-0.001,-0.05,0,0.001,0.04,-0.001,-0.05,0.01,0.00,2
66,Entry short,2026-05-27 07:00,GBPUSD_1100_SHORT,1.3436,1,1.3436,-0.001,-0.05,0,0.001,0.04,-0.001,-0.05,0.01,0.00,2
67,Exit short,2026-05-28 07:00,TP_OR_SL,1.3399,1,1.33894,-0.001,-0.07,0,0.00003,0.00,-0.001,-0.07,0.01,0.00,1
67,Entry short,2026-05-28 06:30,GBPUSD_1030_SHORT,1.33894,1,1.33894,-0.001,-0.07,0,0.00003,0.00,-0.001,-0.07,0.01,0.00,1
