Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
31,Entry long,2023-07-31 07:00,AUDUSD_HL_BASE,0.67087,1,0.67087,0.003,0.40,0,0.003,0.40,-0.001,-0.08,0.004,0.00,3
32,Exit long,2023-08-07 10:00,TP_OR_SL,0.65594,1,0.65726,-0.001,-0.20,0,0.001,0.21,-0.001,-0.20,0.003,0.00,3
32,Entry long,2023-08-07 07:00,AUDUSD_HL_BODY_EXTREME,0.65726,1,0.65726,-0.001,-0.20,0,0.001,0.21,-0.001,-0.20,0.003,0.00,3
33,Exit long,2023-08-10 08:00,TP_OR_SL,0.65884,1,0.65686,0.002,0.30,0,0.002,0.30,-0.001,-0.11,0.01,0.00,1
33,Entry long,2023-08-10 07:00,AUDUSD_HL_BODY_EXTREME,0.65686,1,0.65686,0.002,0.30,0,0.002,0.30,-0.001,-0.11,0.01,0.00,1
34,Exit long,2023-08-17 10:00,TP_OR_SL,0.64182,1,0.64342,-0.002,-0.25,0,0.002,0.25,-0.002,-0.25,0.003,0.00,3
34,Entry long,2023-08-17 07:00,AUDUSD_HL_BASE,0.64342,1,0.64342,-0.002,-0.25,0,0.002,0.25,-0.002,-0.25,0.003,0.00,3
35,Exit long,2023-08-21 09:00,TP_OR_SL,0.64055,1,0.6418,-0.001,-0.19,0,0.0004,0.06,-0.001,-0.19,0.002,0.00,2
35,Entry long,2023-08-21 07:00,AUDUSD_HL_BODY_EXTREME,0.6418,1,0.6418,-0.001,-0.19,0,0.0004,0.06,-0.001,-0.19,0.002,0.00,2
36,Exit long,2023-08-25 09:00,TP_OR_SL,0.64154,1,0.64258,-0.001,-0.16,0,0.001,0.10,-0.001,-0.16,0.001,0.00,2
36,Entry long,2023-08-25 07:00,AUDUSD_HL_BASE,0.64258,1,0.64258,-0.001,-0.16,0,0.001,0.10,-0.001,-0.16,0.001,0.00,2
37,Exit long,2023-08-30 08:00,TP_OR_SL,0.64913,1,0.64678,0.002,0.36,0,0.002,0.36,-0.0001,-0.02,0.004,0.00,1
37,Entry long,2023-08-30 07:00,AUDUSD_HL_BASE,0.64678,1,0.64678,0.002,0.36,0,0.002,0.36,-0.0001,-0.02,0.004,0.00,1
38,Exit long,2023-09-01 08:00,TP_OR_SL,0.65041,1,0.64798,0.002,0.38,0,0.002,0.38,-0.001,-0.09,0.01,0.00,1
38,Entry long,2023-09-01 07:00,AUDUSD_HL_BASE,0.64798,1,0.64798,0.002,0.38,0,0.002,0.38,-0.001,-0.09,0.01,0.00,1
39,Exit long,2023-09-14 08:00,TP_OR_SL,0.64329,1,0.64438,-0.001,-0.17,0,0.001,0.11,-0.001,-0.17,0.005,0.00,1
39,Entry long,2023-09-14 07:00,AUDUSD_HL_BASE,0.64438,1,0.64438,-0.001,-0.17,0,0.001,0.11,-0.001,-0.17,0.005,0.00,1
40,Exit long,2023-09-19 10:00,TIME_EXIT,0.64668,1,0.64651,0.0002,0.03,0,0.001,0.13,-0.001,-0.13,0.01,0.00,3
40,Entry long,2023-09-19 07:00,AUDUSD_HL_BODY_EXTREME,0.64651,1,0.64651,0.0002,0.03,0,0.001,0.13,-0.001,-0.13,0.01,0.00,3
41,Exit long,2023-09-20 10:00,TIME_EXIT,0.64971,1,0.64863,0.001,0.17,0,0.002,0.25,-0.0004,-0.06,0.01,0.00,3
41,Entry long,2023-09-20 07:00,AUDUSD_HL_BODY_EXTREME,0.64863,1,0.64863,0.001,0.17,0,0.002,0.25,-0.0004,-0.06,0.01,0.00,3
42,Exit long,2023-09-22 10:00,TIME_EXIT,0.64612,1,0.64514,0.001,0.15,0,0.001,0.22,-0.0003,-0.05,0.01,0.00,3
42,Entry long,2023-09-22 07:00,AUDUSD_HL_BODY_EXTREME,0.64514,1,0.64514,0.001,0.15,0,0.001,0.22,-0.0003,-0.05,0.01,0.00,3
43,Exit long,2023-09-28 10:00,TP_OR_SL,0.64168,1,0.63923,0.002,0.38,0,0.002,0.38,-0.001,-0.15,0.01,0.00,3
43,Entry long,2023-09-28 07:00,AUDUSD_HL_BASE,0.63923,1,0.63923,0.002,0.38,0,0.002,0.38,-0.001,-0.15,0.01,0.00,3
44,Exit long,2023-10-05 08:00,TP_OR_SL,0.63363,1,0.63492,-0.001,-0.20,0,0.0002,0.03,-0.001,-0.20,0.01,0.00,1
44,Entry long,2023-10-05 07:00,AUDUSD_HL_BASE,0.63492,1,0.63492,-0.001,-0.20,0,0.0002,0.03,-0.001,-0.20,0.01,0.00,1
45,Exit long,2023-10-09 10:00,TIME_EXIT,0.63763,1,0.63645,0.001,0.19,0,0.002,0.34,-0.001,-0.13,0.01,0.00,3
45,Entry long,2023-10-09 07:00,AUDUSD_HL_BASE,0.63645,1,0.63645,0.001,0.19,0,0.002,0.34,-0.001,-0.13,0.01,0.00,3
46,Exit long,2023-10-17 08:00,TP_OR_SL,0.63507,1,0.63616,-0.001,-0.17,0,0.0002,0.04,-0.001,-0.17,0.01,0.00,1
46,Entry long,2023-10-17 07:00,AUDUSD_HL_BASE,0.63616,1,0.63616,-0.001,-0.17,0,0.0002,0.04,-0.001,-0.17,0.01,0.00,1
47,Exit long,2023-10-30 10:00,TP_OR_SL,0.63654,1,0.6375,-0.001,-0.15,0,0.001,0.11,-0.001,-0.15,0.01,0.00,3
47,Entry long,2023-10-30 07:00,AUDUSD_HL_BASE,0.6375,1,0.6375,-0.001,-0.15,0,0.001,0.11,-0.001,-0.15,0.01,0.00,3
48,Exit long,2023-11-01 08:00,TP_OR_SL,0.63629,1,0.6342,0.002,0.33,0,0.002,0.33,-0.0001,-0.01,0.01,0.00,1
48,Entry long,2023-11-01 07:00,AUDUSD_HL_BASE,0.6342,1,0.6342,0.002,0.33,0,0.002,0.33,-0.0001,-0.01,0.01,0.00,1
49,Exit long,2023-11-02 10:00,TP_OR_SL,0.64245,1,0.64373,-0.001,-0.20,0,0.002,0.29,-0.001,-0.20,0.01,0.00,3
49,Entry long,2023-11-02 07:00,AUDUSD_HL_BASE,0.64373,1,0.64373,-0.001,-0.20,0,0.002,0.29,-0.001,-0.20,0.01,0.00,3
50,Exit long,2023-11-03 08:00,TP_OR_SL,0.64626,1,0.6444,0.002,0.29,0,0.002,0.29,-0.0003,-0.04,0.01,0.00,1
50,Entry long,2023-11-03 07:00,AUDUSD_HL_BASE,0.6444,1,0.6444,0.002,0.29,0,0.002,0.29,-0.0003,-0.04,0.01,0.00,1
51,Exit long,2023-11-15 08:00,TP_OR_SL,0.6517,1,0.65293,-0.001,-0.19,0,0.001,0.20,-0.001,-0.19,0.01,0.00,2
51,Entry long,2023-11-15 06:00,AUDUSD_HL_BODY_EXTREME,0.65293,1,0.65293,-0.001,-0.19,0,0.001,0.20,-0.001,-0.19,0.01,0.00,2
