Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
31,Exit long,2023-05-18 11:00,TIME_EXIT,138.499,0.72,99.57456,0.14,0.15,0,0.27,0.27,-0.12,-0.12,2.06,0.02,3
31,Entry long,2023-05-18 08:00,BODY_EXTREME_LONG,138.298,0.72,99.57456,0.14,0.15,0,0.27,0.27,-0.12,-0.12,2.06,0.02,3
32,Exit long,2023-05-19 10:00,TIME_EXIT,138.513,0.72,99.65448,0.07,0.08,0,0.18,0.18,-0.15,-0.15,2.14,0.02,3
32,Entry long,2023-05-19 07:00,BODY_EXTREME_LONG,138.409,0.72,99.65448,0.07,0.08,0,0.18,0.18,-0.15,-0.15,2.14,0.02,3
33,Exit long,2023-05-22 10:00,TP_OR_SL,138.015,0.72,99.52992,-0.16,-0.16,0,0.31,0.31,-0.16,-0.16,1.98,0.02,3
33,Entry long,2023-05-22 07:00,BODY_EXTREME_LONG,138.236,0.72,99.52992,-0.16,-0.16,0,0.31,0.31,-0.16,-0.16,1.98,0.02,3
34,Exit long,2023-05-23 09:00,TP_OR_SL,138.614,0.72,99.97992,-0.18,-0.18,0,0,0.00,-0.18,-0.18,1.8,0.02,1
34,Entry long,2023-05-23 08:00,BODY_EXTREME_LONG,138.861,0.72,99.97992,-0.18,-0.18,0,0,0.00,-0.18,-0.18,1.8,0.02,1
35,Exit long,2023-05-24 12:00,TP_OR_SL,139.274,0.72,99.9648,0.31,0.31,0,0.31,0.31,-0.03,-0.03,2.11,0.02,3
35,Entry long,2023-05-24 09:00,BODY_EXTREME_LONG,138.84,0.72,99.9648,0.31,0.31,0,0.31,0.31,-0.03,-0.03,2.11,0.02,3
36,Exit long,2023-05-25 09:00,TP_OR_SL,139.497,0.71,99.20688,-0.16,-0.17,0,0.08,0.08,-0.16,-0.17,1.95,0.02,1
36,Entry long,2023-05-25 08:00,BODY_EXTREME_LONG,139.728,0.71,99.20688,-0.16,-0.17,0,0.08,0.08,-0.16,-0.17,1.95,0.02,1
37,Exit long,2023-05-26 11:00,TP_OR_SL,140.523,0.71,99.45538,0.32,0.32,0,0.32,0.32,-0.04,-0.04,2.26,0.02,3
37,Entry long,2023-05-26 08:00,BODY_EXTREME_LONG,140.078,0.71,99.45538,0.32,0.32,0,0.32,0.32,-0.04,-0.04,2.26,0.02,3
38,Exit long,2023-06-13 12:00,TIME_EXIT,139.897,0.71,99.22534,0.1,0.10,0,0.25,0.26,-0.06,-0.06,2.36,0.02,3
38,Entry long,2023-06-13 09:00,BODY_EXTREME_LONG,139.754,0.71,99.22534,0.1,0.10,0,0.25,0.26,-0.06,-0.06,2.36,0.02,3
39,Exit long,2023-06-16 13:00,TIME_EXIT,141.786,0.7,99.0493,0.2,0.20,0,0.26,0.27,-0.07,-0.07,2.57,0.03,3
39,Entry long,2023-06-16 10:00,BODY_EXTREME_LONG,141.499,0.7,99.0493,0.2,0.20,0,0.26,0.27,-0.07,-0.07,2.57,0.03,3
40,Exit long,2023-06-21 10:00,TP_OR_SL,142.021,0.7,99.5764,-0.16,-0.16,0,0.05,0.05,-0.16,-0.16,2.4,0.02,1
40,Entry long,2023-06-21 09:00,BODY_EXTREME_LONG,142.252,0.7,99.5764,-0.16,-0.16,0,0.05,0.05,-0.16,-0.16,2.4,0.02,1
41,Exit long,2023-06-22 10:00,TP_OR_SL,142.673,0.7,99.5694,0.3,0.30,0,0.3,0.30,-0.07,-0.07,2.71,0.03,2
41,Entry long,2023-06-22 08:00,BODY_EXTREME_LONG,142.242,0.7,99.5694,0.3,0.30,0,0.3,0.30,-0.07,-0.07,2.71,0.03,2
42,Exit long,2023-06-23 13:00,TIME_EXIT,143.726,0.69,99.18198,-0.01,-0.01,0,0.09,0.09,-0.05,-0.05,2.69,0.03,3
42,Entry long,2023-06-23 10:00,BODY_EXTREME_LONG,143.742,0.69,99.18198,-0.01,-0.01,0,0.09,0.09,-0.05,-0.05,2.69,0.03,3
43,Exit long,2023-06-26 12:00,TIME_EXIT,143.576,0.69,98.98602,0.08,0.08,0,0.18,0.18,-0.06,-0.06,2.78,0.03,3
43,Entry long,2023-06-26 09:00,BODY_EXTREME_LONG,143.458,0.69,98.98602,0.08,0.08,0,0.18,0.18,-0.06,-0.06,2.78,0.03,3
44,Exit long,2023-06-27 13:00,TIME_EXIT,143.974,0.69,99.38898,-0.05,-0.05,0,0.09,0.09,-0.12,-0.12,2.73,0.03,3
44,Entry long,2023-06-27 10:00,BODY_EXTREME_LONG,144.042,0.69,99.38898,-0.05,-0.05,0,0.09,0.09,-0.12,-0.12,2.73,0.03,3
45,Exit long,2023-06-28 09:00,TP_OR_SL,144.204,0.69,99.636,-0.14,-0.14,0,0.05,0.05,-0.14,-0.14,2.59,0.03,1
45,Entry long,2023-06-28 08:00,BODY_EXTREME_LONG,144.4,0.69,99.636,-0.14,-0.14,0,0.05,0.05,-0.14,-0.14,2.59,0.03,1
46,Exit long,2023-06-29 10:00,TP_OR_SL,144.559,0.69,99.90234,-0.16,-0.16,0,0.08,0.08,-0.16,-0.16,2.44,0.02,2
46,Entry long,2023-06-29 08:00,BODY_EXTREME_LONG,144.786,0.69,99.90234,-0.16,-0.16,0,0.08,0.08,-0.16,-0.16,2.44,0.02,2
47,Exit long,2023-07-20 10:00,TP_OR_SL,140.328,0.71,99.28356,0.35,0.35,0,0.35,0.35,-0.06,-0.07,2.79,0.03,2
47,Entry long,2023-07-20 08:00,BODY_EXTREME_LONG,139.836,0.71,99.28356,0.35,0.35,0,0.35,0.35,-0.06,-0.07,2.79,0.03,2
48,Exit long,2023-08-01 10:00,TP_OR_SL,143.428,0.69,98.65275,0.31,0.32,0,0.31,0.32,-0.02,-0.02,3.1,0.03,3
48,Entry long,2023-08-01 07:00,BODY_EXTREME_LONG,142.975,0.69,98.65275,0.31,0.32,0,0.31,0.32,-0.02,-0.02,3.1,0.03,3
49,Exit long,2023-08-02 11:00,TIME_EXIT,143.208,0.69,98.79558,0.02,0.02,0,0.2,0.21,-0.11,-0.11,3.12,0.03,3
49,Entry long,2023-08-02 08:00,BODY_EXTREME_LONG,143.182,0.69,98.79558,0.02,0.02,0,0.2,0.21,-0.11,-0.11,3.12,0.03,3
