Trade number,Type,Date and time,Signal,Price CHF,Size (qty),Size (value),Net PnL CHF,Return %,Commission CHF,Favorable excursion CHF,Favorable excursion %,Adverse excursion CHF,Adverse excursion %,Cumulative PnL CHF,Cumulative PnL %,Duration (bars)
23,Exit short,2023-11-24 09:00,TIME_EXIT,0.88192,1,0.88344,0.002,0.17,0,0.002,0.19,-0.0004,-0.04,0.01,0.00,3
23,Entry short,2023-11-24 06:00,USDCHF_1100_SHORT,0.88344,1,0.88344,0.002,0.17,0,0.002,0.19,-0.0004,-0.04,0.01,0.00,3
24,Exit short,2023-12-12 08:00,TP_OR_SL,0.87301,1,0.8752,0.002,0.25,0,0.002,0.25,-0.0002,-0.03,0.01,0.00,2
24,Entry short,2023-12-12 06:00,USDCHF_1100_SHORT,0.8752,1,0.8752,0.002,0.25,0,0.002,0.25,-0.0002,-0.03,0.01,0.00,2
25,Exit short,2023-12-14 08:00,TP_OR_SL,0.87036,1,0.86841,-0.002,-0.22,0,0.001,0.17,-0.002,-0.22,0.01,0.00,2
25,Entry short,2023-12-14 06:00,USDCHF_1100_SHORT,0.86841,1,0.86841,-0.002,-0.22,0,0.001,0.17,-0.002,-0.22,0.01,0.00,2
26,Exit short,2023-12-15 08:00,TP_OR_SL,0.86749,1,0.86608,-0.001,-0.16,0,0.0004,0.04,-0.001,-0.16,0.01,0.00,2
26,Entry short,2023-12-15 06:00,USDCHF_1100_SHORT,0.86608,1,0.86608,-0.001,-0.16,0,0.0004,0.04,-0.001,-0.16,0.01,0.00,2
27,Exit short,2023-12-18 07:00,TP_OR_SL,0.86831,1,0.86709,-0.001,-0.14,0,0.0003,0.03,-0.001,-0.14,0.01,0.00,1
27,Entry short,2023-12-18 06:00,USDCHF_1100_SHORT,0.86709,1,0.86709,-0.001,-0.14,0,0.0003,0.03,-0.001,-0.14,0.01,0.00,1
28,Exit short,2023-12-19 07:00,TP_OR_SL,0.86408,1,0.86606,0.002,0.23,0,0.002,0.23,0,0.00,0.01,0.00,1
28,Entry short,2023-12-19 06:00,USDCHF_1100_SHORT,0.86606,1,0.86606,0.002,0.23,0,0.002,0.23,0,0.00,0.01,0.00,1
29,Exit short,2023-12-21 08:00,TP_OR_SL,0.85679,1,0.8591,0.002,0.27,0,0.002,0.27,-0.001,-0.06,0.01,0.00,2
29,Entry short,2023-12-21 06:00,USDCHF_1100_SHORT,0.8591,1,0.8591,0.002,0.27,0,0.002,0.27,-0.001,-0.06,0.01,0.00,2
30,Exit short,2023-12-22 07:00,TP_OR_SL,0.85446,1,0.85336,-0.001,-0.13,0,0.0004,0.04,-0.001,-0.13,0.01,0.00,1
30,Entry short,2023-12-22 06:00,USDCHF_1100_SHORT,0.85336,1,0.85336,-0.001,-0.13,0,0.0004,0.04,-0.001,-0.13,0.01,0.00,1
31,Exit short,2023-12-29 08:00,TP_OR_SL,0.83808,1,0.83636,-0.002,-0.21,0,0.001,0.08,-0.002,-0.21,0.01,0.00,2
31,Entry short,2023-12-29 06:00,USDCHF_1100_SHORT,0.83636,1,0.83636,-0.002,-0.21,0,0.001,0.08,-0.002,-0.21,0.01,0.00,2
32,Exit short,2024-01-24 08:00,TP_OR_SL,0.86297,1,0.86526,0.002,0.26,0,0.002,0.26,0,0.00,0.01,0.00,2
32,Entry short,2024-01-24 06:00,USDCHF_1100_SHORT,0.86526,1,0.86526,0.002,0.26,0,0.002,0.26,0,0.00,0.01,0.00,2
33,Exit short,2024-01-26 07:00,TP_OR_SL,0.86427,1,0.86302,-0.001,-0.14,0,0.0001,0.01,-0.001,-0.14,0.01,0.00,1
33,Entry short,2024-01-26 06:00,USDCHF_1100_SHORT,0.86302,1,0.86302,-0.001,-0.14,0,0.0001,0.01,-0.001,-0.14,0.01,0.00,1
34,Exit short,2024-02-02 08:00,TP_OR_SL,0.85689,1,0.8558,-0.001,-0.13,0,0.0003,0.04,-0.001,-0.13,0.01,0.00,2
34,Entry short,2024-02-02 06:00,USDCHF_1100_SHORT,0.8558,1,0.8558,-0.001,-0.13,0,0.0003,0.04,-0.001,-0.13,0.01,0.00,2
35,Exit short,2024-02-16 08:00,TP_OR_SL,0.88146,1,0.88064,-0.001,-0.09,0,0.0002,0.03,-0.001,-0.09,0.01,0.00,2
35,Entry short,2024-02-16 06:00,USDCHF_1100_SHORT,0.88064,1,0.88064,-0.001,-0.09,0,0.0002,0.03,-0.001,-0.09,0.01,0.00,2
36,Exit short,2024-02-19 08:00,TP_OR_SL,0.88127,1,0.88034,-0.001,-0.11,0,0.0004,0.04,-0.001,-0.11,0.01,0.00,2
36,Entry short,2024-02-19 06:00,USDCHF_1100_SHORT,0.88034,1,0.88034,-0.001,-0.11,0,0.0004,0.04,-0.001,-0.11,0.01,0.00,2
37,Exit short,2024-03-07 09:00,TIME_EXIT,0.87974,1,0.87967,-0.0001,-0.01,0,0.001,0.13,-0.001,-0.09,0.01,0.00,3
37,Entry short,2024-03-07 06:00,USDCHF_1100_SHORT,0.87967,1,0.87967,-0.0001,-0.01,0,0.001,0.13,-0.001,-0.09,0.01,0.00,3
38,Exit short,2024-04-10 08:00,TP_OR_SL,0.90436,1,0.9036,-0.001,-0.08,0,0.001,0.12,-0.001,-0.08,0.01,0.00,1
38,Entry short,2024-04-10 07:00,USDCHF_1100_SHORT,0.9036,1,0.9036,-0.001,-0.08,0,0.001,0.12,-0.001,-0.08,0.01,0.00,1
39,Exit short,2024-04-18 08:00,TP_OR_SL,0.90949,1,0.9086,-0.001,-0.10,0,0.0001,0.01,-0.001,-0.10,0.01,0.00,1
39,Entry short,2024-04-18 07:00,USDCHF_1100_SHORT,0.9086,1,0.9086,-0.001,-0.10,0,0.0001,0.01,-0.001,-0.10,0.01,0.00,1
40,Exit short,2024-05-02 10:00,TP_OR_SL,0.91351,1,0.91203,-0.001,-0.16,0,0.001,0.12,-0.001,-0.16,0.005,0.00,3
40,Entry short,2024-05-02 07:00,USDCHF_1100_SHORT,0.91203,1,0.91203,-0.001,-0.16,0,0.001,0.12,-0.001,-0.16,0.005,0.00,3
41,Exit short,2024-05-03 08:00,TP_OR_SL,0.9045,1,0.90678,0.002,0.25,0,0.002,0.25,-0.0003,-0.04,0.01,0.00,1
41,Entry short,2024-05-03 07:00,USDCHF_1100_SHORT,0.90678,1,0.90678,0.002,0.25,0,0.002,0.25,-0.0003,-0.04,0.01,0.00,1
42,Exit short,2024-05-28 08:00,TP_OR_SL,0.90903,1,0.91042,0.001,0.15,0,0.001,0.15,-0.0002,-0.03,0.01,0.00,1
42,Entry short,2024-05-28 07:00,USDCHF_1100_SHORT,0.91042,1,0.91042,0.001,0.15,0,0.001,0.15,-0.0002,-0.03,0.01,0.00,1
43,Exit short,2024-06-03 10:00,TP_OR_SL,0.89989,1,0.90192,0.002,0.23,0,0.002,0.23,-0.0001,-0.01,0.01,0.00,3
43,Entry short,2024-06-03 07:00,USDCHF_1100_SHORT,0.90192,1,0.90192,0.002,0.23,0,0.002,0.23,-0.0001,-0.01,0.01,0.00,3
44,Exit short,2024-06-14 10:00,TIME_EXIT,0.89048,1,0.89205,0.002,0.18,0,0.002,0.19,-0.001,-0.11,0.01,0.00,3
44,Entry short,2024-06-14 07:00,USDCHF_1100_SHORT,0.89205,1,0.89205,0.002,0.18,0,0.002,0.19,-0.001,-0.11,0.01,0.00,3
45,Exit short,2024-06-18 08:00,TP_OR_SL,0.88626,1,0.88788,0.002,0.18,0,0.002,0.18,-0.00002,0.00,0.01,0.00,1
45,Entry short,2024-06-18 07:00,USDCHF_1100_SHORT,0.88788,1,0.88788,0.002,0.18,0,0.002,0.18,-0.00002,0.00,0.01,0.00,1
46,Exit short,2024-06-19 10:00,TIME_EXIT,0.88434,1,0.88414,-0.0002,-0.02,0,0.001,0.06,-0.0003,-0.03,0.01,0.00,3
46,Entry short,2024-06-19 07:00,USDCHF_1100_SHORT,0.88414,1,0.88414,-0.0002,-0.02,0,0.001,0.06,-0.0003,-0.03,0.01,0.00,3
47,Exit short,2024-07-04 10:00,TIME_EXIT,0.9,1,0.8997,-0.0003,-0.03,0,0.001,0.06,-0.001,-0.10,0.01,0.00,3
47,Entry short,2024-07-04 07:00,USDCHF_1100_SHORT,0.8997,1,0.8997,-0.0003,-0.03,0,0.001,0.06,-0.001,-0.10,0.01,0.00,3
48,Exit short,2024-07-12 08:00,TP_OR_SL,0.89629,1,0.89548,-0.001,-0.09,0,0.00001,0.00,-0.001,-0.09,0.01,0.00,1
48,Entry short,2024-07-12 07:00,USDCHF_1100_SHORT,0.89548,1,0.89548,-0.001,-0.09,0,0.00001,0.00,-0.001,-0.09,0.01,0.00,1
49,Exit short,2024-07-24 08:00,TP_OR_SL,0.88471,1,0.88648,0.002,0.20,0,0.002,0.20,-0.0001,-0.01,0.01,0.00,1
49,Entry short,2024-07-24 07:00,USDCHF_1100_SHORT,0.88648,1,0.88648,0.002,0.20,0,0.002,0.20,-0.0001,-0.01,0.01,0.00,1
50,Exit short,2024-07-25 08:00,TP_OR_SL,0.87929,1,0.87807,-0.001,-0.14,0,0.0001,0.01,-0.001,-0.14,0.01,0.00,1
50,Entry short,2024-07-25 07:00,USDCHF_1100_SHORT,0.87807,1,0.87807,-0.001,-0.14,0,0.0001,0.01,-0.001,-0.14,0.01,0.00,1
51,Exit short,2024-07-31 09:00,TP_OR_SL,0.87787,1,0.88033,0.002,0.28,0,0.002,0.28,-0.0001,-0.01,0.02,0.00,2
51,Entry short,2024-07-31 07:00,USDCHF_1100_SHORT,0.88033,1,0.88033,0.002,0.28,0,0.002,0.28,-0.0001,-0.01,0.02,0.00,2
52,Exit short,2024-08-19 08:00,TP_OR_SL,0.86535,1,0.86402,-0.001,-0.15,0,0.0002,0.02,-0.001,-0.15,0.01,0.00,1
52,Entry short,2024-08-19 07:00,USDCHF_1100_SHORT,0.86402,1,0.86402,-0.001,-0.15,0,0.0002,0.02,-0.001,-0.15,0.01,0.00,1
53,Exit short,2024-08-20 10:00,TP_OR_SL,0.85748,1,0.85956,0.002,0.24,0,0.002,0.24,-0.001,-0.11,0.02,0.00,3
53,Entry short,2024-08-20 07:00,USDCHF_1100_SHORT,0.85956,1,0.85956,0.002,0.24,0,0.002,0.24,-0.001,-0.11,0.02,0.00,3
54,Exit short,2024-08-27 09:00,TP_OR_SL,0.84393,1,0.84604,0.002,0.25,0,0.002,0.25,-0.0002,-0.02,0.02,0.00,2
54,Entry short,2024-08-27 07:00,USDCHF_1100_SHORT,0.84604,1,0.84604,0.002,0.25,0,0.002,0.25,-0.0002,-0.02,0.02,0.00,2
55,Exit short,2024-09-13 09:00,TP_OR_SL,0.84462,1,0.84719,0.003,0.30,0,0.003,0.30,-0.0005,-0.06,0.02,0.00,2
55,Entry short,2024-09-13 07:00,USDCHF_1100_SHORT,0.84719,1,0.84719,0.003,0.30,0,0.003,0.30,-0.0005,-0.06,0.02,0.00,2
56,Exit short,2024-10-21 10:00,TP_OR_SL,0.86464,1,0.86387,-0.001,-0.09,0,0.001,0.06,-0.001,-0.09,0.02,0.00,3
56,Entry short,2024-10-21 07:00,USDCHF_1100_SHORT,0.86387,1,0.86387,-0.001,-0.09,0,0.001,0.06,-0.001,-0.09,0.02,0.00,3
57,Exit short,2024-11-04 07:00,TP_OR_SL,0.8633,1,0.86206,-0.001,-0.14,0,0.00002,0.00,-0.001,-0.14,0.02,0.00,1
57,Entry short,2024-11-04 06:00,USDCHF_1100_SHORT,0.86206,1,0.86206,-0.001,-0.14,0,0.00002,0.00,-0.001,-0.14,0.02,0.00,1
58,Exit short,2024-11-05 07:00,TP_OR_SL,0.8625,1,0.8617,-0.001,-0.09,0,0.0001,0.01,-0.001,-0.09,0.02,0.00,1
58,Entry short,2024-11-05 06:00,USDCHF_1100_SHORT,0.8617,1,0.8617,-0.001,-0.09,0,0.0001,0.01,-0.001,-0.09,0.02,0.00,1
